carat,cut,color,clarity,depth,table,x,y,z,price
0.32,Premium,I,VVS2,61.9,59.0,4.38,4.35,2.7,720
0.31,Ideal,D,VS2,61.8,55.0,4.37,4.33,2.69,942
0.36,Ideal,F,VS2,61.5,55.0,4.57,4.6,2.82,629
0.41,Very Good,G,VS1,61.6,59.0,4.74,4.8,2.94,908
0.6,Ideal,I,SI2,62.2,54.0,5.4,5.44,3.37,1125
1.39,Premium,F,SI1,62.1,58.0,7.16,7.1,4.43,8631
0.5,Very Good,G,SI1,62.1,59.0,5.09,5.12,3.17,1237
0.35,Ideal,G,VS2,61.6,54.0,4.55,4.58,2.81,563
0.55,Ideal,F,VS1,60.6,56.0,5.33,5.37,3.24,1890
1.09,Premium,I,VS2,59.0,61.0,6.78,6.75,3.98,4090
0.3,Premium,H,SI1,61.3,58.0,4.33,4.29,2.64,540
0.31,Premium,E,VS1,61.7,58.0,4.3,4.36,2.67,734
0.7,Very Good,E,SI2,62.6,55.0,5.62,5.69,3.54,2263
0.38,Premium,E,VVS1,61.9,58.0,4.62,4.66,2.87,1267
0.4,Ideal,G,VS1,62.4,57.0,4.74,4.72,2.95,1125
0.9,Very Good,G,SI1,63.6,57.0,6.07,6.13,3.88,3718
0.34,Very Good,I,VVS2,63.1,56.0,4.47,4.43,2.81,765
0.3,Very Good,G,VVS2,61.8,59.0,4.22,4.26,2.62,684
0.54,Premium,F,IF,61.9,60.0,5.26,5.21,3.24,2391
0.51,Very Good,H,VS1,62.5,58.0,5.09,5.12,3.19,1343
1.34,Very Good,H,SI2,61.1,63.0,7.08,7.01,4.3,4352
0.42,Ideal,G,VS2,61.7,57.0,4.8,4.83,2.97,847
1.71,Very Good,F,VS2,58.5,61.0,7.88,7.79,4.58,17052
1.19,Ideal,H,VS2,62.0,54.0,6.79,6.83,4.22,7633
1.5,Ideal,I,VS2,62.4,54.1,7.3,7.35,4.57,9730
0.56,Ideal,D,VS2,60.6,56.0,5.37,5.33,3.24,2066
1.79,Premium,G,VS1,61.7,59.0,7.85,7.74,4.81,18419
0.5,Ideal,F,VVS2,62.2,54.0,5.11,5.09,3.17,2160
0.3,Ideal,H,IF,62.3,54.0,4.34,4.36,2.71,764
0.96,Premium,D,SI2,60.0,61.0,6.36,6.32,3.81,4274
0.87,Very Good,H,SI1,62.2,57.0,6.05,6.11,3.78,3180
0.52,Very Good,G,VS1,59.5,58.0,5.21,5.28,3.12,1621
0.35,Premium,G,SI1,60.3,60.0,4.57,4.59,2.76,522
1.57,Very Good,H,VS1,62.8,60.0,7.36,7.44,4.65,11605
0.51,Ideal,E,VS2,62.0,54.0,5.13,5.1,3.17,1662
1.08,Ideal,H,VVS2,62.4,55.0,6.53,6.57,4.09,6856
0.72,Ideal,H,SI1,61.8,54.0,5.76,5.8,3.57,2359
1.09,Ideal,F,SI1,62.0,56.0,6.56,6.61,4.08,5665
