carat,cut,color,clarity,depth,table,x,y,z,price
1.56,Ideal,F,VS2,62.0,55.0,7.41,7.45,4.61,17108
0.43,Good,E,SI1,63.1,56.0,4.8,4.83,3.04,739
2.04,Very Good,I,VS2,62.5,58.0,8.09,8.22,5.1,16874
1.72,Premium,F,I1,60.5,59.0,7.8,7.71,4.69,7089
1.25,Premium,G,VVS1,58.2,61.0,7.1,7.05,4.12,8281
1.15,Very Good,G,SI1,61.3,62.0,6.68,6.72,4.11,5538
1.19,Premium,G,VS2,62.3,58.0,6.82,6.77,4.23,7130
0.3,Premium,H,VS1,60.4,61.0,4.31,4.27,2.59,675
1.05,Good,H,SI1,63.2,56.0,6.47,6.51,4.1,4937
0.31,Ideal,E,VVS2,61.6,56.0,4.35,4.39,2.69,837
1.02,Ideal,H,VS2,62.0,57.0,6.43,6.4,3.98,5426
0.3,Ideal,H,VVS1,61.9,57.0,4.3,4.33,2.67,665
0.32,Ideal,D,SI1,61.3,57.0,4.41,4.37,2.69,756
1.02,Ideal,D,VVS2,62.0,56.0,6.48,6.43,4.0,11167
0.71,Ideal,D,SI1,60.8,57.0,5.75,5.78,3.5,3502
1.25,Premium,J,SI1,62.0,58.0,6.9,6.88,4.27,5166
1.03,Good,J,SI1,63.6,57.0,6.38,6.29,4.03,2855
1.2,Ideal,J,SI2,61.7,56.0,6.79,6.87,4.21,4659
0.33,Premium,E,VS2,60.6,60.0,4.48,4.43,2.7,928
0.3,Very Good,H,VS2,62.7,59.0,4.22,4.27,2.66,473
1.52,Good,F,VS2,64.2,59.0,7.16,7.2,4.61,11696
0.3,Ideal,J,VVS1,60.4,57.0,4.36,4.38,2.64,464
0.5,Ideal,E,SI2,63.0,57.0,5.09,5.04,3.19,1181
0.41,Ideal,F,VVS2,61.7,56.0,4.78,4.81,2.96,1115
1.51,Fair,I,VS2,64.6,58.0,7.19,7.15,4.63,8287
0.79,Ideal,D,SI1,61.1,57.0,5.94,6.0,3.65,3209
0.38,Premium,H,VVS2,62.0,58.0,4.62,4.64,2.87,833
1.0,Premium,F,SI2,61.7,57.0,6.42,6.35,3.94,3853
0.34,Premium,E,SI1,59.3,58.0,4.59,4.55,2.71,765
1.5,Premium,G,I1,60.4,55.0,7.4,7.32,4.45,4140
0.32,Ideal,G,SI1,61.3,57.0,4.4,4.37,2.69,612
1.0,Very Good,I,SI1,63.2,56.0,6.37,6.31,4.01,4088
